split	id	before	after	chars_found
dev	22	Γas akken sḍelmen-t, Ma yerbeḥ s tefses ɣef tjumma yettnadin ad tessiǧhed assaɣen akked umenẓaw Cinwa.	Ɣas akken sḍelmen-t, Ma yerbeḥ s tefses ɣef tjumma yettnadin ad tessiǧhed assaɣen akked umenẓaw Cinwa.	Γ
dev	24	Yesεa 2 n yiswiyen d 2 n tegnatin tixatarin deg temlilit anda rebḥen Wacintun 5-3 mgal Atlanta Tracers.	Yesɛa 2 n yiswiyen d 2 n tegnatin tixatarin deg temlilit anda rebḥen Wacintun 5-3 mgal Atlanta Tracers.	ε
dev	29	Yerɣa lḥebs Abu Γrayeb n Ɛiraq deg tɣewwaɣt.	Yerɣa lḥebs Abu Ɣrayeb n Ɛiraq deg tɣewwaɣt.	Γ
dev	34	Γef 8:46 n sbaḥ swa swa teɣli-d tsusmi ɣef temdint, d ayen icerḍen akud ufrin anda yewwet uǧet nnican-is amenzu.	Ɣef 8:46 n sbaḥ swa swa teɣli-d tsusmi ɣef temdint, d ayen icerḍen akud ufrin anda yewwet uǧet nnican-is amenzu.	Γ
dev	42	Azayaḍ, i d-yezgan tamudi n 645 n yimaylen (1040 km) ɣer usamar n tegzirin n Kab Ferde, yezmer ahat ad iεeddi weqbel ad yeggez tamiwin n tmurt, i d-yenna uneɣmas n yiriden n tegnawt.	Azayaḍ, i d-yezgan tamudi n 645 n yimaylen (1040 km) ɣer usamar n tegzirin n Kab Ferde, yezmer ahat ad iɛeddi weqbel ad yeggez tamiwin n tmurt, i d-yenna uneɣmas n yiriden n tegnawt.	ε
dev	43	Fred yesεa tura akka aḍu n 105 n yimaylen deg usrag (165 km/h) yerna ad yettaẓ ɣer ugafa amalu.	Fred yesɛa tura akka aḍu n 105 n yimaylen deg usrag (165 km/h) yerna ad yettaẓ ɣer ugafa amalu.	ε
dev	49	Tamsulta n Nyu Ziland εewqen amek ad sxedmen tameẓyant-nsen n uṛadar n urured i wakken ad walin amek yettɣawal Mass Rid acku Tahuski Taberkant tṣub mliḥ, abrid amenzu kan anda teṣṣaweḍ temsulta ad teṭṭef s ukṛunumitr Mass Rid mi yessenhawel ɣer 160km/h.	Tamsulta n Nyu Ziland ɛewqen amek ad sxedmen tameẓyant-nsen n uṛadar n urured i wakken ad walin amek yettɣawal Mass Rid acku Tahuski Taberkant tṣub mliḥ, abrid amenzu kan anda teṣṣaweḍ temsulta ad teṭṭef s ukṛunumitr Mass Rid mi yessenhawel ɣer 160km/h.	ε
dev	51	Deg waggur n Yebrir n useggas-agi, yesuffeɣ-d Unezraf Glinn tasunḍa n tilisa mgal uɣsur i wakken ad yessiǧhed ttesriḥ n wid yettwaṭṭfen ugar n 24 n tsaεtin seld tuṭṭfa-nsen ur yesεin ara tibeddit akked ukumiṣar n teɣdemt.	Deg waggur n Yebrir n useggas-agi, yesuffeɣ-d Unezraf Glinn tasunḍa n tilisa mgal uɣsur i wakken ad yessiǧhed ttesriḥ n wid yettwaṭṭfen ugar n 24 n tsaɛtin seld tuṭṭfa-nsen ur yesɛin ara tibeddit akked ukumiṣar n teɣdemt.	ε
dev	55	Mass Kustellu yenna-d d akken mi ara yuɣal uxlaq n tfasa n uɣsi d amagnu di tdamsa, Usṭrali ad tetbeε asexdem-is.	Mass Kustellu yenna-d d akken mi ara yuɣal uxlaq n tfasa n uɣsi d amagnu di tdamsa, Usṭrali ad tetbeɛ asexdem-is.	ε
dev	56	"Ma yella tuɣal d tazenzant, ilaq ad tt-nesεu. Akka, ur yelli usukkes n umenzay i tfasa n uɣsi " i d-yenna Kustellu.	"Ma yella tuɣal d tazenzant, ilaq ad tt-nesɛu. Akka, ur yelli usukkes n umenzay i tfasa n uɣsi " i d-yenna Kustellu.	ε
dev	57	Γef leḥsab n Ansa, "Timsulta εnan-tt kra n trennawin n uswir εlayen i ugaden ad ssekren-t trad n uxlaf.	Ɣef leḥsab n Ansa, "Timsulta ɛnan-tt kra n trennawin n uswir ɛlayen i ugaden ad ssekren-t trad n uxlaf.	Γ,ε
dev	61	Deg inaw-ines n 2 n tsaεtin yenna-d d akken "Ass-a Abbel ad as-nefk udem amaynut i tiliɣṛi, Ad yeqqim deg umezruy ass-a".	Deg inaw-ines n 2 n tsaɛtin yenna-d d akken "Ass-a Abbel ad as-nefk udem amaynut i tiliɣṛi, Ad yeqqim deg umezruy ass-a".	ε
dev	65	Imeskanen ssarmen ad jemεen asuter n 1.2 n yimelyunen n yezmal ad seknen i Ugraw Aɣelnaw di Wamber.	Imeskanen ssarmen ad jemɛen asuter n 1.2 n yimelyunen n yezmal ad seknen i Ugraw Aɣelnaw di Wamber.	ε
dev	66	Seld mi d-iban d akken aṭas n twaculin i yettnadin afus uzrif n lemεawna i wakken ad nnaɣen mgal asuffeɣ, tella-d temlilit deg wass n 20 si Meɣres deg Wammas n Usaḍuf n Tmazdayt n Ist Bay i teɣtas n uzrag n tnezduɣt.	Seld mi d-iban d akken aṭas n twaculin i yettnadin afus uzrif n lemɛawna i wakken ad nnaɣen mgal asuffeɣ, tella-d temlilit deg wass n 20 si Meɣres deg Wammas n Usaḍuf n Tmazdayt n Ist Bay i teɣtas n uzrag n tnezduɣt.	ε
dev	71	Imestanen Igrigiyen yettwassnen, Sakis Kecagiuglu d Ǧurǧ Nikulakubulus ttwaḥebsen deg usekraf n Atens n Kuridallus, imi d imḍalmiyen n usgufsu d tjeεal.	Imestanen Igrigiyen yettwassnen, Sakis Kecagiuglu d Ǧurǧ Nikulakubulus ttwaḥebsen deg usekraf n Atens n Kuridallus, imi d imḍalmiyen n usgufsu d tjeɛal.	ε
dev	72	Γef waya, tella-d lefḍiḥa meqqren deg tmazdayt tazerfant Tagrigit segmi d-seknen tigawin tiruzrifin xeddmen yemzarfa, imestanen d yimisirawen deg yiseggasen yezrin.	Ɣef waya, tella-d lefḍiḥa meqqren deg tmazdayt tazerfant Tagrigit segmi d-seknen tigawin tiruzrifin xeddmen yemzarfa, imestanen d yimisirawen deg yiseggasen yezrin.	Γ
dev	73	Kra n ddurtat ɣer deffir, seld mi d-yessuffeɣ umeɣnas Makis Triantafilubulus talɣut deg unahay-is n Tiluẓṛi "Zungla" di Alfa TF, amaṣlaḍ n Umni d umestan, Betrus Mantufalus yeffeɣ imi imaṣlaḍen n lbiru-ines ttekkan deg usgufsu d tijeεal iruzrifen.	Kra n ddurtat ɣer deffir, seld mi d-yessuffeɣ umeɣnas Makis Triantafilubulus talɣut deg unahay-is n Tiluẓṛi "Zungla" di Alfa TF, amaṣlaḍ n Umni d umestan, Betrus Mantufalus yeffeɣ imi imaṣlaḍen n lbiru-ines ttekkan deg usgufsu d tijeɛal iruzrifen.	ε
dev	74	Ernu ɣer waya, amzarfu bu tmekkant εlayen akk Efangelus Kalusis yettwaḥbes imi d amḍalmu n tijεal d tikli iεewjen.	Ernu ɣer waya, amzarfu bu tmekkant ɛlayen akk Efangelus Kalusis yettwaḥbes imi d amḍalmu n tijɛal d tikli iɛewjen.	ε
dev	84	Rnu ɣef yeḥricen n ugris, tignatin n tegnawt qessiḥen εewqent ussisen n usellek.	Rnu ɣef yeḥricen n ugris, tignatin n tegnawt qessiḥen ɛewqent ussisen n usellek.	ε
dev	86	Anect-agi akk n ugris azuran, ɣef leḥsab n Bittman, d ayen iweεren akk i yiṣeggaden n yidemriyen deg 15 n yiseggasen-agi yezrin.	Anect-agi akk n ugris azuran, ɣef leḥsab n Bittman, d ayen iweɛren akk i yiṣeggaden n yidemriyen deg 15 n yiseggasen-agi yezrin.	ε
dev	97	Deg wass n 7 di Tuber iqleε-d umutur mi d-yeḥḍer waffug, ur d-yessegra imejraḥ. Tessers-d Rusya s urured II-76s seld tawaɣit-agi.	Deg wass n 7 di Tuber iqleɛ-d umutur mi d-yeḥḍer waffug, ur d-yessegra imejraḥ. Tessers-d Rusya s urured II-76s seld tawaɣit-agi.	ε
dev	98	800 n yimaylen n Unagraw n Tsenfarin n Ubiṭrul Iεeddan ɣef Alaska ɣelqen-t seld mi d-nneɣlen igiman n tbettiyin n ubiṭrul aḥrur deg unẓul n Ferbanks, Alaska.	800 n yimaylen n Unagraw n Tsenfarin n Ubiṭrul Iɛeddan ɣef Alaska ɣelqen-t seld mi d-nneɣlen igiman n tbettiyin n ubiṭrul aḥrur deg unẓul n Ferbanks, Alaska.	ε
dev	99	Seld aεraḍ imezgi n unagraw n usefrek n uqelleε truḥ trisiti d ayen i d-yeglan s tullya n tmacint yeṭṭfen tibettiyin-nni dɣa yenɣel-d akk ubiṭrul-nni ɣer tama n teɣsert 9 n tsuffut n Ugadir Grili.	Seld aɛraḍ imezgi n unagraw n usefrek n uqelleɛ truḥ trisiti d ayen i d-yeglan s tullya n tmacint yeṭṭfen tibettiyin-nni dɣa yenɣel-d akk ubiṭrul-nni ɣer tama n teɣsert 9 n tsuffut n Ugadir Grili.	ε
dev	103	Iwenniten, srid si tiliẓri, d abrid amenzu ad stεerfent teɣbula εlayen n Iran d akken tifegwa sεant asemdu.	Iwenniten, srid si tiliẓri, d abrid amenzu ad stɛerfent teɣbula ɛlayen n Iran d akken tifegwa sɛant asemdu.	ε
dev	108	Tettban-d tkabsult amzun d itri ifeǧǧen i d-iεeddan deg igenni.	Tettban-d tkabsult amzun d itri ifeǧǧen i d-iɛeddan deg igenni.	ε
dev	109	Takabsult tettεedday-d s 12.8 km neɣ 8 n yimaylen i tasint, d taruradt i wakken ad truḥ si San Fransisku ɣer Lus Angeles deg yiwet n tesdat.	Takabsult tettɛedday-d s 12.8 km neɣ 8 n yimaylen i tasint, d taruradt i wakken ad truḥ si San Fransisku ɣer Lus Angeles deg yiwet n tesdat.	ε
dev	112	Taɣtest n Mass Rudd n uzmul n umsisi n unezwi n Kyutu teεzel Iwunak Yeddukklen, d ayen ad tt-yarren d aɣlan yenneflen awḥid ur neqbil amsisi.	Taɣtest n Mass Rudd n uzmul n umsisi n unezwi n Kyutu teɛzel Iwunak Yeddukklen, d ayen ad tt-yarren d aɣlan yenneflen awḥid ur neqbil amsisi.	ε
dev	113	Anabaḍ aqbur aḥerraz n Lusṭrali yugi ad yeqbel Kyutu, imi ad iḍur tadamsa s lettkal-is aẓayan ɣef usuffeɣ n lefḥem, ma yella d timura am Lhend d Ccinwa ur qqinent ara ɣer yiswiyen n uceggeε.	Anabaḍ aqbur aḥerraz n Lusṭrali yugi ad yeqbel Kyutu, imi ad iḍur tadamsa s lettkal-is aẓayan ɣef usuffeɣ n lefḥem, ma yella d timura am Lhend d Ccinwa ur qqinent ara ɣer yiswiyen n uceggeɛ.	ε
dev	114	D taɣawsa yesεan akk azal deg umezruy n eBay.	D taɣawsa yesɛan akk azal deg umezruy n eBay.	ε
dev	115	Takebbanit tessarem ad terr tiɣbula n lfayda d tanḍiyin akked ad terbeḥ tamelt di tamiwin anda yesεa Skayb tamekkant tuzmirt, am Ccinwa, Tuṛuft n Usamar, d Brazil.	Takebbanit tessarem ad terr tiɣbula n lfayda d tanḍiyin akked ad terbeḥ tamelt di tamiwin anda yesɛa Skayb tamekkant tuzmirt, am Ccinwa, Tuṛuft n Usamar, d Brazil.	ε
dev	119	Urar ibedd ɣef Umennuɣ wis Sin n Fallujah, amennuɣ amezzangu gar yiɣallen Imarikaniyen d Yiεiraqiyen.	Urar ibedd ɣef Umennuɣ wis Sin n Fallujah, amennuɣ amezzangu gar yiɣallen Imarikaniyen d Yiɛiraqiyen.	ε
dev	122	Tamahelt n Yiwunak Yeddukklen i d-yezgan di Nayrubi, Kenya tessuffeɣ-d aεeggen d akken " imeṭṭarfuyen si Sumalya" sɣawasen ad serḥen i tenṭagin n tfezwayin tinɣimanin di Kenya akked Etyubya.	Tamahelt n Yiwunak Yeddukklen i d-yezgan di Nayrubi, Kenya tessuffeɣ-d aɛeggen d akken " imeṭṭarfuyen si Sumalya" sɣawasen ad serḥen i tenṭagin n tfezwayin tinɣimanin di Kenya akked Etyubya.	ε
dev	126	Al Guri d Ujiniral Tummi Frnks ttadren-d izwal-nsen smenyifen (Guri yella mi d-yessawḍ Uẓalim d akken netta d Tibber sεeddan akud n tuzzuft yifen akk wiyyaḍ di tudert-nsen seld lexṣara-ines 2000 n tefranin n Temnaḍt).	Al Guri d Ujiniral Tummi Frnks ttadren-d izwal-nsen smenyifen (Guri yella mi d-yessawḍ Uẓalim d akken netta d Tibber sɛeddan akud n tuzzuft yifen akk wiyyaḍ di tudert-nsen seld lexṣara-ines 2000 n tefranin n Temnaḍt).	ε
dev	127	Aṭas n yimyura-nsen sεan tazrirt meqqren ɣef wahilen n umkadan n yisalen n Jun Stiwart d Stefen Kulbert.	Aṭas n yimyura-nsen sɛan tazrirt meqqren ɣef wahilen n umkadan n yisalen n Jun Stiwart d Stefen Kulbert.	ε
dev	128	Aneḍru anaẓuṛan yettekka ula d netta ɣer usizzel n Uxxam n Tɣiwant n Bučarest yettnadin ad yeḥyu tugna n tmanaɣt Tarumanit d tamdint tameqqrant tamesnulfut yerna d tin yesεan tiɣmiwin.	Aneḍru anaẓuṛan yettekka ula d netta ɣer usizzel n Uxxam n Tɣiwant n Bučarest yettnadin ad yeḥyu tugna n tmanaɣt Tarumanit d tamdint tameqqrant tamesnulfut yerna d tin yesɛan tiɣmiwin.	ε
dev	129	Ad tili temdint d tamenzut deg Tuṛuft n unẓul asamar ad ixedmen Amsudaɣ n Tfunasin, aneḍru anaẓuṛan azayez imeqqren akk deg umaḍal, gar Yunyu d Γuct n useggas-agi.	Ad tili temdint d tamenzut deg Tuṛuft n unẓul asamar ad ixedmen Amsudaɣ n Tfunasin, aneḍru anaẓuṛan azayez imeqqren akk deg umaḍal, gar Yunyu d Ɣuct n useggas-agi.	Γ
dev	131	Tamerna n 300 ad yefk aɣṛud n 1,300 n tkeṛṛyas ad sεun i wakken ad sifsusen ṭṭaqa n tkeṛṛyas ireglen abrid.	Tamerna n 300 ad yefk aɣṛud n 1,300 n tkeṛṛyas ad sɛun i wakken ad sifsusen ṭṭaqa n tkeṛṛyas ireglen abrid.	ε
dev	141	Deg wass n Ahad, Tiddukla Taɣelnawt n Yiwunak Yedduklen n Takurt Uqecwal (TTYYTU) ḥebsen tasemhuyt-nsen n takurt n uqecwal tamsadurt ɣef temsal yeεnan KUFID-19.	Deg wass n Ahad, Tiddukla Taɣelnawt n Yiwunak Yedduklen n Takurt Uqecwal (TTYYTU) ḥebsen tasemhuyt-nsen n takurt n uqecwal tamsadurt ɣef temsal yeɛnan KUFID-19.	ε
dev	143	Γef leḥsab n ufusil-agi, iban d akken yella-d zik beṭṭu ɣef wayen d-yessizwer ttbut amulikuli.	Ɣef leḥsab n ufusil-agi, iban d akken yella-d zik beṭṭu ɣef wayen d-yessizwer ttbut amulikuli.	Γ
dev	145	Alami d tura, i teṣṣaweḍ AUL ad tḥerrek u ad tesnefli alzuz IM s leεqel-is, imi yucaε usexdem-is deg Yiwunak Yedduklen.	Alami d tura, i teṣṣaweḍ AUL ad tḥerrek u ad tesnefli alzuz IM s leɛqel-is, imi yucaɛ usexdem-is deg Yiwunak Yedduklen.	ε
dev	148	Tabanka Aẓru n Ugafa tuɣal d aɣelnawt di 2008 seld mi d-iban d akken takebbanit tesεa asalel n tezwert sɣur Unabaḍ n Tgelda Yedduklen.	Tabanka Aẓru n Ugafa tuɣal d aɣelnawt di 2008 seld mi d-iban d akken takebbanit tesɛa asalel n tezwert sɣur Unabaḍ n Tgelda Yedduklen.	ε
dev	149	Aẓru n Ugafa tessuter afus n lemεawna imi tt-tḥuza teswiεt n ddiq n urhan n 2007.	Aẓru n Ugafa tessuter afus n lemɛawna imi tt-tḥuza teswiɛt n ddiq n urhan n 2007.	ε
dev	155	Mraw d semmus n yeẓra kkan-d seg ugeffur n yimitiyuriten n Yulyu iεeddan.	Mraw d semmus n yeẓra kkan-d seg ugeffur n yimitiyuriten n Yulyu iɛeddan.	ε
dev	164	D tuɣdat n Tanawt tis Ṣa n Tegriwa n Yiwunak Yedduklen yerna yesεa amekkan-is di Sasebu, Nagazaki di Jabu.	D tuɣdat n Tanawt tis Ṣa n Tegriwa n Yiwunak Yedduklen yerna yesɛa amekkan-is di Sasebu, Nagazaki di Jabu.	ε
dev	166	Aslaɣmu n uskuti d yisalen i d-yejmeε Dafid Hidli iεawnen i wakken ad teḍru temhelt n 10 n yergazen yesεan leslaḥ seg ugraw ameɣnas n Bakistan Laskar-e Taiba.	Aslaɣmu n uskuti d yisalen i d-yejmeɛ Dafid Hidli iɛawnen i wakken ad teḍru temhelt n 10 n yergazen yesɛan leslaḥ seg ugraw ameɣnas n Bakistan Laskar-e Taiba.	ε
dev	370	Imɣan-agi ttbanen-d am tezdayt tamecṭuḥt s yiferrawen uqḍiεen, ibedden am yisennanen.	Imɣan-agi ttbanen-d am tezdayt tamecṭuḥt s yiferrawen uqḍiɛen, ibedden am yisennanen.	ε
dev	371	Atrisiratubs yessexdem ahat aqamum-is iǧehden i wakken ad yeqleε iferrawen-nni uqbel ad yečč ajgu.	Atrisiratubs yessexdem ahat aqamum-is iǧehden i wakken ad yeqleɛ iferrawen-nni uqbel ad yečč ajgu.	ε
dev	372	Imussnawen niḍen sfuklen d akken imɣan-agi sεan ssem mliḥ dɣa ur cukken yečča-ten udinuẓur, xas akken ass-a amaṛxu d yiɣerṣiwen am ubabaɣayu (ccetla n udinuẓur) zemren ad ččen iferrawen neɣ igumma semmumen.	Imussnawen niḍen sfuklen d akken imɣan-agi sɛan ssem mliḥ dɣa ur cukken yečča-ten udinuẓur, xas akken ass-a amaṛxu d yiɣerṣiwen am ubabaɣayu (ccetla n udinuẓur) zemren ad ččen iferrawen neɣ igumma semmumen.	ε
dev	375	Iṭij ur yesεi ara tajumma ɣef wacu ad tbeddeḍ am Umaḍal. Iṭij s timmad-is yettwaxdem s wurrigen, times, d blasma.	Iṭij ur yesɛi ara tajumma ɣef wacu ad tbeddeḍ am Umaḍal. Iṭij s timmad-is yettwaxdem s wurrigen, times, d blasma.	ε
dev	376	Urrig yettuɣal d axfifan skud tettbeεεideḍ ɣef tlemmast n Yiṭij.	Urrig yettuɣal d axfifan skud tettbeɛɛideḍ ɣef tlemmast n Yiṭij.	ε
dev	378	Sakkin tamudi n kraḍ n yigiman n yiseggasen, di 1610, asnetray aṭelyani Galileu Galiley yessexdem atiliskub i wakken ad iẓer d akken Fenus tesεa tiswiεin, am wagur.	Sakkin tamudi n kraḍ n yigiman n yiseggasen, di 1610, asnetray aṭelyani Galileu Galiley yessexdem atiliskub i wakken ad iẓer d akken Fenus tesɛa tiswiɛin, am wagur.	ε
dev	379	Tiswiεin ttilint-d acku siwa idis n Fenus (neɣ win n wagur) iwehhan ɣer Yiṭij iceεlen. Tiswiεin n Fenus ddant akked tiẓri n Kubernikus i d-yeqqaren d akken imtiwgen ttezzin i Yiṭij.	Tiswiɛin ttilint-d acku siwa idis n Fenus (neɣ win n wagur) iwehhan ɣer Yiṭij iceɛlen. Tiswiɛin n Fenus ddant akked tiẓri n Kubernikus i d-yeqqaren d akken imtiwgen ttezzin i Yiṭij.	ε
dev	380	Sakkin, seld n kra n yiseggasen di 1639, asnetray Aglizi isem-is Jeremya Hurruk iwala aεeddi n Fenus.	Sakkin, seld n kra n yiseggasen di 1639, asnetray Aglizi isem-is Jeremya Hurruk iwala aɛeddi n Fenus.	ε
dev	391	Asanskrit d tutlayt iṣeεben nezzeh yerna d tanesbaɣurt, d ayen i tt-yeǧǧan ad tili d aɣbalu n waṭas n tutlayin Tihendiyin tattrarin, am Tlatinit i yellan d aɣbalu n tutlayin Tuṛufin am Tefransist d Tesbanyulit.	Asanskrit d tutlayt iṣeɛben nezzeh yerna d tanesbaɣurt, d ayen i tt-yeǧǧan ad tili d aɣbalu n waṭas n tutlayin Tihendiyin tattrarin, am Tlatinit i yellan d aɣbalu n tutlayin Tuṛufin am Tefransist d Tesbanyulit.	ε
dev	393	Tsemma Lalman d angal tanṭagt "Tamhelt Izem n Yilel". Tuget n leslaḥ ẓayen d tmerna n Tredsa Tabriṭanit akk εerqen mi d-rewlen si Dunkirk, ihi taredsa d tanamumt.	Tsemma Lalman d angal tanṭagt "Tamhelt Izem n Yilel". Tuget n leslaḥ ẓayen d tmerna n Tredsa Tabriṭanit akk ɛerqen mi d-rewlen si Dunkirk, ihi taredsa d tanamumt.	ε
dev	394	Maca Taredsa Tageldant mazal-itt d tuntimt ugar ɣef Tegriwa Talalmanit ("Kriegsmarine") yerna tella tezmer ad tesdegdeg yal tinawin n unbaz ad ceggεen izegren Ilel Aglizi.	Maca Taredsa Tageldant mazal-itt d tuntimt ugar ɣef Tegriwa Talalmanit ("Kriegsmarine") yerna tella tezmer ad tesdegdeg yal tinawin n unbaz ad ceggɛen izegren Ilel Aglizi.	ε
dev	397	Sεan taredsa tanamumt d tagriwa tanamumt, ɣas akken bnan ukkuz n yiɣeṛṛuba imaynuten uqbel ad yebdu trad.	Sɛan taredsa tanamumt d tagriwa tanamumt, ɣas akken bnan ukkuz n yiɣeṛṛuba imaynuten uqbel ad yebdu trad.	ε
dev	398	Iswiyen igejdanen n Ṭelyan d timura n Tefriqt. I wakken ad ṭṭfen timura-agi, ilaq ad sεun tajumma n uceggeε n tekra, i wakken ad ssilelent tikra deg Yilel Amagrakal yerna ad nebzen Tafriqt.	Iswiyen igejdanen n Ṭelyan d timura n Tefriqt. I wakken ad ṭṭfen timura-agi, ilaq ad sɛun tajumma n uceggeɛ n tekra, i wakken ad ssilelent tikra deg Yilel Amagrakal yerna ad nebzen Tafriqt.	ε
dev	399	Γef waya, ilaq ad suffɣen izdaren Ibriṭaniyen d yiɣeṛṛuba si Maṣer. Ernu ɣer tigawin-agi, iɣeṛṛuba n umennuɣ n Ṭelyan ur nwin ad xedmen acemma niḍen.	Ɣef waya, ilaq ad suffɣen izdaren Ibriṭaniyen d yiɣeṛṛuba si Maṣer. Ernu ɣer tigawin-agi, iɣeṛṛuba n umennuɣ n Ṭelyan ur nwin ad xedmen acemma niḍen.	Γ
dev	402	Tineṭṭabin ttwasxedment di Trad Amaḍlan I d Trad Amaḍlan II. Di tallit-nni ttmurḍusent mliḥ yerna sεant annar n ujbad bu tilas.	Tineṭṭabin ttwasxedment di Trad Amaḍlan I d Trad Amaḍlan II. Di tallit-nni ttmurḍusent mliḥ yerna sɛant annar n ujbad bu tilas.	ε
dev	407	S wudem inefεen, ur t-ḥsiben ara d win yesεan akka azal meqqren deg tallit taqburt yerna ur t-kelsen ara deg wumuɣen n yigelliden iqburen akk.	S wudem inefɛen, ur t-ḥsiben ara d win yesɛan akka azal meqqren deg tallit taqburt yerna ur t-kelsen ara deg wumuɣen n yigelliden iqburen akk.	ε
dev	408	Maca, tagrut n uẓekka-s di 1922 terra-t d bu tamelt. Γas akken llan aṭas n yiẓekwan n yizri i ukren, aẓekka-agi yeqqim akken yella.	Maca, tagrut n uẓekka-s di 1922 terra-t d bu tamelt. Ɣas akken llan aṭas n yiẓekwan n yizri i ukren, aẓekka-agi yeqqim akken yella.	Γ
dev	411	Tineccabin seg wallalen n ujbad ineqqen zemrent ad kecment taderraεt n yiserdasen imenzaɣen. Tamudi 1000 Uqbel. Tamasiḥt., Issiryanen skecmen-d tamnayit tamenzut.	Tineccabin seg wallalen n ujbad ineqqen zemrent ad kecment taderraɛt n yiserdasen imenzaɣen. Tamudi 1000 Uqbel. Tamasiḥt., Issiryanen skecmen-d tamnayit tamenzut.	ε
